date,usage,dollars,type
05:00AM 4 September 2025,1.24 kWh,$0.26,actual
06:00AM 4 September 2025,2.69 kWh,$0.51,actual
07:00AM 4 September 2025,1.47 kWh,$0.45,actual
08:00AM 4 September 2025,1.56 kWh,$0.47,actual
09:00AM 4 September 2025,0.39 kWh,$0.16,actual
10:00AM 4 September 2025,0.35 kWh,$0.15,actual
11:00AM 4 September 2025,1.43 kWh,$0.44,actual
12:00PM 4 September 2025,0.69 kWh,$0.24,actual
01:00PM 4 September 2025,0.44 kWh,$0.17,actual
02:00PM 4 September 2025,0.54 kWh,$0.20,actual
03:00PM 4 September 2025,0.82 kWh,$0.28,actual
04:00PM 4 September 2025,1.15 kWh,$0.36,actual
05:00PM 4 September 2025,1.39 kWh,$0.43,actual
06:00PM 4 September 2025,3.30 kWh,$0.94,actual
07:00PM 4 September 2025,1.44 kWh,$0.44,actual
08:00PM 4 September 2025,1.95 kWh,$0.58,actual
09:00PM 4 September 2025,2.39 kWh,$0.46,actual
10:00PM 4 September 2025,1.90 kWh,$0.38,actual
11:00PM 4 September 2025,2.98 kWh,$0.56,actual
12:00AM 5 September 2025,4.16 kWh,$0.76,actual
01:00AM 5 September 2025,4.20 kWh,$0.76,actual
02:00AM 5 September 2025,4.19 kWh,$0.76,actual
03:00AM 5 September 2025,2.81 kWh,$0.53,actual
04:00AM 5 September 2025,1.02 kWh,$0.23,actual
05:00AM 5 September 2025,1.28 kWh,$0.27,actual
06:00AM 5 September 2025,1.29 kWh,$0.27,actual
07:00AM 5 September 2025,1.01 kWh,$0.33,actual
08:00AM 5 September 2025,2.02 kWh,$0.60,actual
09:00AM 5 September 2025,0.61 kWh,$0.22,actual
10:00AM 5 September 2025,1.27 kWh,$0.40,actual
11:00AM 5 September 2025,1.43 kWh,$0.44,actual
12:00PM 5 September 2025,1.12 kWh,$0.36,actual
01:00PM 5 September 2025,0.57 kWh,$0.21,actual
02:00PM 5 September 2025,0.38 kWh,$0.16,actual
03:00PM 5 September 2025,0.56 kWh,$0.20,actual
04:00PM 5 September 2025,0.85 kWh,$0.28,actual
05:00PM 5 September 2025,2.53 kWh,$0.73,actual
06:00PM 5 September 2025,2.79 kWh,$0.80,actual
07:00PM 5 September 2025,2.81 kWh,$0.81,actual
08:00PM 5 September 2025,2.33 kWh,$0.68,actual
09:00PM 5 September 2025,2.53 kWh,$0.48,actual
10:00PM 5 September 2025,1.96 kWh,$0.39,actual
11:00PM 5 September 2025,2.92 kWh,$0.55,actual
12:00AM 6 September 2025,4.30 kWh,$0.78,actual
01:00AM 6 September 2025,3.37 kWh,$0.62,actual
02:00AM 6 September 2025,1.66 kWh,$0.33,actual
03:00AM 6 September 2025,1.48 kWh,$0.30,actual
04:00AM 6 September 2025,1.56 kWh,$0.32,actual
05:00AM 6 September 2025,1.51 kWh,$0.31,actual
06:00AM 6 September 2025,1.16 kWh,$0.25,actual
07:00AM 6 September 2025,1.97 kWh,$0.58,actual
08:00AM 6 September 2025,2.35 kWh,$0.68,actual
09:00AM 6 September 2025,2.12 kWh,$0.62,actual
10:00AM 6 September 2025,1.06 kWh,$0.34,actual
11:00AM 6 September 2025,1.00 kWh,$0.32,actual
12:00PM 6 September 2025,3.12 kWh,$0.89,actual
01:00PM 6 September 2025,1.44 kWh,$0.44,actual
02:00PM 6 September 2025,0.78 kWh,$0.26,actual
03:00PM 6 September 2025,1.24 kWh,$0.39,actual
04:00PM 6 September 2025,2.28 kWh,$0.67,actual
05:00PM 6 September 2025,3.96 kWh,$1.12,actual
06:00PM 6 September 2025,3.21 kWh,$0.92,actual
07:00PM 6 September 2025,2.92 kWh,$0.84,actual
08:00PM 6 September 2025,2.62 kWh,$0.76,actual
09:00PM 6 September 2025,2.75 kWh,$0.52,actual
10:00PM 6 September 2025,2.02 kWh,$0.39,actual
11:00PM 6 September 2025,2.90 kWh,$0.54,actual
